customer_key,acquisition_channel,is_paid_acquired,first_order_date,first_order_cohort,lifetime_order_count,geography
1,Organic,False,2023-01-01,2023-01,2,West
2,Paid social,True,2023-01-01,2023-01,1,West
3,Retargeting,True,2023-01-01,2023-01,3,South
4,Retargeting,True,2023-01-01,2023-01,1,Midwest
5,Paid search,True,2023-01-01,2023-01,2,Midwest
6,Affiliate / creator,True,2023-01-01,2023-01,2,South
7,Email / SMS,False,2023-01-01,2023-01,2,West
8,Paid social,True,2023-01-01,2023-01,2,Northeast
9,Paid search,True,2023-01-01,2023-01,2,West
10,Organic,False,2023-01-01,2023-01,2,Northeast
11,Paid social,True,2023-01-01,2023-01,2,West
12,Paid search,True,2023-01-01,2023-01,5,South
13,Paid search,True,2023-01-01,2023-01,1,West
14,Paid social,True,2023-01-01,2023-01,4,Midwest
15,Paid social,True,2023-01-01,2023-01,1,South
16,Organic,False,2023-01-01,2023-01,3,South
17,Paid search,True,2023-01-01,2023-01,1,Midwest
18,Paid social,True,2023-01-01,2023-01,1,South
19,Paid social,True,2023-01-01,2023-01,2,Northeast
20,Retargeting,True,2023-01-01,2023-01,3,South
21,Paid social,True,2023-01-01,2023-01,2,South
22,Organic,False,2023-01-01,2023-01,2,West
23,Email / SMS,False,2023-01-01,2023-01,3,South
24,Paid social,True,2023-01-01,2023-01,2,South
25,Paid social,True,2023-01-01,2023-01,4,Midwest
26,Paid social,True,2023-01-01,2023-01,3,West
27,Paid social,True,2023-01-01,2023-01,1,Northeast
28,Paid social,True,2023-01-01,2023-01,2,Northeast
29,Paid social,True,2023-01-01,2023-01,1,Midwest
30,Paid social,True,2023-01-01,2023-01,1,Northeast
31,Email / SMS,False,2023-01-01,2023-01,3,Northeast
32,Paid social,True,2023-01-01,2023-01,3,Northeast
33,Email / SMS,False,2023-01-01,2023-01,2,Midwest
34,Paid search,True,2023-01-01,2023-01,1,West
35,Paid social,True,2023-01-01,2023-01,1,South
36,Paid social,True,2023-01-01,2023-01,3,West
37,Paid social,True,2023-01-01,2023-01,1,West
38,Organic,False,2023-01-01,2023-01,2,Northeast
39,Affiliate / creator,True,2023-01-01,2023-01,3,Midwest
40,Paid search,True,2023-01-01,2023-01,2,South
41,Referral,False,2023-01-01,2023-01,1,Northeast
42,Paid social,True,2023-01-01,2023-01,1,Northeast
43,Paid social,True,2023-01-01,2023-01,2,West
44,Paid social,True,2023-01-01,2023-01,2,Midwest
45,Paid social,True,2023-01-01,2023-01,2,Northeast
46,Paid social,True,2023-01-01,2023-01,1,West
47,Paid social,True,2023-01-01,2023-01,3,South
48,Paid search,True,2023-01-01,2023-01,2,South
49,Paid social,True,2023-01-01,2023-01,1,South
50,Email / SMS,False,2023-01-01,2023-01,4,South
51,Paid social,True,2023-01-01,2023-01,3,South
52,Affiliate / creator,True,2023-01-01,2023-01,3,Midwest
53,Paid search,True,2023-01-01,2023-01,1,Northeast
54,Paid social,True,2023-01-01,2023-01,2,South
55,Organic,False,2023-01-01,2023-01,1,West
56,Affiliate / creator,True,2023-01-01,2023-01,4,Northeast
57,Paid search,True,2023-01-01,2023-01,3,West
58,Retargeting,True,2023-01-01,2023-01,3,Northeast
