account_key,account_code,account_name,statement,account_type,cost_behaviour,is_pl
1,1000,Cash,BS,asset,n/a,False
2,1100,Accounts receivable - wholesale,BS,asset,n/a,False
3,1150,Payment processor receivable,BS,asset,n/a,False
4,1180,Allowance for doubtful accounts,BS,contra_asset,n/a,False
5,1200,Inventory - finished goods,BS,asset,n/a,False
6,1210,Inventory reserve,BS,contra_asset,n/a,False
7,1250,Right of return asset,BS,asset,n/a,False
8,1300,Supplier advances / prepaid inventory,BS,asset,n/a,False
9,1400,"Property and equipment, net",BS,asset,n/a,False
10,2000,Accounts payable,BS,liability,n/a,False
11,2100,Accrued liabilities,BS,liability,n/a,False
12,2200,Refund liability,BS,liability,n/a,False
13,2500,Revolving credit facility,BS,liability,n/a,False
14,3000,Common stock and paid-in capital,BS,equity,n/a,False
15,3900,Retained earnings,BS,equity,n/a,False
16,4000,DTC merchandise revenue,PL,revenue,variable,True
17,4010,Wholesale merchandise revenue,PL,revenue,variable,True
18,4020,DTC shipping revenue,PL,revenue,variable,True
19,4100,Promotional discounts,PL,contra_revenue,variable,True
20,4110,DTC returns reserve,PL,contra_revenue,variable,True
21,4111,DTC refund liability utilisation,BS,liability_movement,n/a,False
22,4120,Wholesale returns reserve,PL,contra_revenue,variable,True
23,4121,Wholesale refund liability utilisation,BS,liability_movement,n/a,False
24,4130,Co-op marketing deductions,PL,contra_revenue,variable,True
25,4140,Markdown allowances,PL,contra_revenue,variable,True
26,4150,Chargebacks and compliance deductions,PL,contra_revenue,variable,True
27,5000,COGS - product cost,PL,cogs,variable,True
28,5010,COGS - inbound freight,PL,cogs,variable,True
29,5020,COGS - duty and customs,PL,cogs,variable,True
30,5100,COGS - outbound parcel freight,PL,cogs,variable,True
31,5110,COGS - wholesale outbound freight,PL,cogs,variable,True
32,5200,COGS - DTC pick and pack,PL,cogs,variable,True
33,5210,COGS - wholesale fulfilment,PL,cogs,variable,True
34,5220,COGS - packaging,PL,cogs,variable,True
35,5300,COGS - inventory write-downs,PL,cogs,variable,True
36,5310,COGS - shrink and damage,PL,cogs,variable,True
37,5320,COGS - return write-offs,PL,cogs,variable,True
38,6000,Payroll and benefits,PL,opex,step_fixed,True
39,6100,Performance marketing,PL,opex,variable,True
40,6110,Brand and retention marketing,PL,opex,directly_budgeted,True
41,6200,Payment processing fees,PL,opex,variable,True
42,6300,3PL storage and account fees,PL,opex,step_fixed,True
43,6310,Office and facilities,PL,opex,fixed,True
44,6320,Software and technology,PL,opex,step_fixed,True
45,6330,Professional fees,PL,opex,directly_budgeted,True
46,6340,Insurance,PL,opex,fixed,True
47,6350,Other corporate,PL,opex,directly_budgeted,True
48,6400,Bad debt expense,PL,opex,variable,True
49,6500,Depreciation,PL,opex,fixed,True
50,7000,Interest expense,PL,other,variable,True
51,7010,Unused line fees,PL,other,fixed,True
