product_key,sku_code,product_family,category,sku_class,is_hero,revenue_weight,msrp,cost_index,case_pack_units,moq,return_rate,lifecycle_state,launch_date,valid_from,valid_to
1,NL-DR-001,Drinkware,Drinkware,A,True,0.109394,46.62,1.147732,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
2,NL-FO-002,Food storage,Food storage,A,True,0.086966,46.56,0.984787,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
3,NL-DR-003,Drinkware,Drinkware,A,True,0.071166,43.43,1.084334,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
4,NL-FO-004,Food storage,Food storage,A,True,0.059559,36.2,1.030386,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
5,NL-DR-005,Drinkware,Drinkware,A,True,0.050746,53.74,1.122214,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
6,NL-FO-006,Food storage,Food storage,A,False,0.043875,35.02,1.032652,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
7,NL-DR-007,Drinkware,Drinkware,A,False,0.0384,46.09,1.02594,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
8,NL-FO-008,Food storage,Food storage,A,False,0.033955,42.32,1.010125,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
9,NL-DR-009,Drinkware,Drinkware,A,False,0.030292,48.42,1.072186,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
10,NL-FO-010,Food storage,Food storage,A,False,0.027231,34.57,1.062845,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
11,NL-DR-011,Drinkware,Drinkware,B,False,0.024643,41.44,1.141725,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
12,NL-FO-012,Food storage,Food storage,B,False,0.022433,39.14,0.981637,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
13,NL-DR-013,Drinkware,Drinkware,B,False,0.020529,40.39,1.14341,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
14,NL-FO-014,Food storage,Food storage,B,False,0.018874,44.39,0.95323,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
15,NL-AC-015,Accessories,Accessories,B,False,0.017426,21.61,0.46862,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
16,NL-DR-016,Drinkware,Drinkware,B,False,0.016151,53.2,1.111724,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
17,NL-FO-017,Food storage,Food storage,B,False,0.01502,44.33,1.015125,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
18,NL-AC-018,Accessories,Accessories,B,False,0.014014,20.92,0.446366,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
19,NL-DR-019,Drinkware,Drinkware,B,False,0.013112,40.65,1.116614,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
20,NL-FO-020,Food storage,Food storage,B,False,0.012302,32.35,0.97153,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
21,NL-AC-021,Accessories,Accessories,B,False,0.011569,14.63,0.447498,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
22,NL-DR-022,Drinkware,Drinkware,B,False,0.010906,46.48,1.078657,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
23,NL-FO-023,Food storage,Food storage,B,False,0.010302,32.82,1.011547,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
24,NL-AC-024,Accessories,Accessories,B,False,0.00975,14.37,0.440371,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
25,NL-DR-025,Drinkware,Drinkware,B,False,0.009246,47.95,1.146735,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
26,NL-FO-026,Food storage,Food storage,B,False,0.008782,31.61,0.955147,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
27,NL-AC-027,Accessories,Accessories,B,False,0.008355,13.66,0.448873,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
28,NL-DR-028,Drinkware,Drinkware,B,False,0.007961,39.06,1.101865,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
29,NL-FO-029,Food storage,Food storage,B,False,0.007596,33.51,1.025008,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
30,NL-AC-030,Accessories,Accessories,B,False,0.007258,14.16,0.438406,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
31,NL-DR-031,Drinkware,Drinkware,B,False,0.006943,43.46,1.043856,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
32,NL-FO-032,Food storage,Food storage,B,False,0.006651,31.33,0.958585,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
33,NL-AC-033,Accessories,Accessories,B,False,0.006377,18.07,0.450211,12,750,0.039576,core,2023-01-01,2023-01-01,2029-01-01
34,NL-DR-034,Drinkware,Drinkware,B,False,0.006122,56.11,1.103765,12,1200,0.062191,core,2023-01-01,2023-01-01,2029-01-01
35,NL-FO-035,Food storage,Food storage,B,False,0.005883,40.87,0.97137,12,1000,0.084805,core,2023-01-01,2023-01-01,2029-01-01
36,NL-AC-036,Accessories,Accessories,C,False,0.005658,14.94,0.436662,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
37,NL-DR-037,Drinkware,Drinkware,C,False,0.005448,55.32,1.108558,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
38,NL-FO-038,Food storage,Food storage,C,False,0.005249,37.09,0.971638,12,1500,0.084805,launch,2025-02-01,2023-01-01,2029-01-01
39,NL-AC-039,Accessories,Accessories,C,False,0.005063,21.3,0.458743,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
40,NL-DR-040,Drinkware,Drinkware,C,False,0.004886,54.63,1.043622,12,1200,0.062191,seasonal,2023-01-01,2023-01-01,2029-01-01
41,NL-AC-041,Accessories,Accessories,C,False,0.00472,21.73,0.433351,12,750,0.039576,seasonal,2023-01-01,2023-01-01,2029-01-01
