account_key,account_code,account_name,tier,revenue_weight,msrp_discount,payment_terms_days,deduction_rate,realised_dso,northlake_paid_freight,credit_quality,is_individually_forecast,valid_from,valid_to
1,WS-001,Account 001,National,0.24,49,60,0.047919,65,True,Low risk,True,2023-01-01,2029-01-01
2,WS-002,Account 002,National,0.15,49,60,0.059208,65,False,Low risk,True,2023-01-01,2029-01-01
3,WS-003,Account 003,National,0.1,49,60,0.052388,65,True,Low risk,True,2023-01-01,2029-01-01
4,WS-004,Account 004,National,0.07,49,60,0.055057,65,False,Low risk,True,2023-01-01,2029-01-01
5,WS-005,Account 005,National,0.06,49,60,0.058006,65,False,Low risk,True,2023-01-01,2029-01-01
6,WS-006,Account 006,Regional,0.0262,45,45,0.027923,42,True,Medium,False,2023-01-01,2029-01-01
7,WS-007,Account 007,Regional,0.024628,45,45,0.027315,42,False,Medium,False,2023-01-01,2029-01-01
8,WS-008,Account 008,Regional,0.023151,45,45,0.023947,42,True,Medium,False,2023-01-01,2029-01-01
9,WS-009,Account 009,Regional,0.021762,45,45,0.032091,42,True,Medium,False,2023-01-01,2029-01-01
10,WS-010,Account 010,Regional,0.020456,45,45,0.026827,42,True,Medium,False,2023-01-01,2029-01-01
11,WS-011,Account 011,Regional,0.019229,45,45,0.031855,42,True,Medium,False,2023-01-01,2029-01-01
12,WS-012,Account 012,Regional,0.018075,45,45,0.024738,42,False,Medium,False,2023-01-01,2029-01-01
13,WS-013,Account 013,Regional,0.01699,45,45,0.028219,42,True,Medium,False,2023-01-01,2029-01-01
14,WS-014,Account 014,Regional,0.015971,45,45,0.026648,42,False,Medium,False,2023-01-01,2029-01-01
15,WS-015,Account 015,Regional,0.015013,45,45,0.028505,42,True,Medium,False,2023-01-01,2029-01-01
16,WS-016,Account 016,Regional,0.014112,45,45,0.025149,42,False,Medium,False,2023-01-01,2029-01-01
17,WS-017,Account 017,Independent,0.013265,40,30,0.010737,31,False,Watch,False,2023-01-01,2029-01-01
18,WS-018,Account 018,Independent,0.012469,40,30,0.012092,31,True,Watch,False,2023-01-01,2029-01-01
19,WS-019,Account 019,Independent,0.011721,40,30,0.01194,31,True,Watch,False,2023-01-01,2029-01-01
20,WS-020,Account 020,Independent,0.011018,40,30,0.011272,31,True,Watch,False,2023-01-01,2029-01-01
21,WS-021,Account 021,Independent,0.010357,40,30,0.010879,31,False,Watch,False,2023-01-01,2029-01-01
22,WS-022,Account 022,Independent,0.009735,40,30,0.01146,31,False,Watch,False,2023-01-01,2029-01-01
23,WS-023,Account 023,Independent,0.009151,40,30,0.01183,31,True,Watch,False,2023-01-01,2029-01-01
24,WS-024,Account 024,Independent,0.008602,40,30,0.012873,31,False,Watch,False,2023-01-01,2029-01-01
25,WS-025,Account 025,Independent,0.008086,40,30,0.012254,31,False,Watch,False,2023-01-01,2029-01-01
26,WS-026,Account 026,Independent,0.007601,40,30,0.010404,31,False,Watch,False,2023-01-01,2029-01-01
27,WS-027,Account 027,Independent,0.007145,40,30,0.011624,31,True,Watch,False,2023-01-01,2029-01-01
28,WS-028,Account 028,Independent,0.006716,40,30,0.01308,31,False,Watch,False,2023-01-01,2029-01-01
29,WS-029,Account 029,Independent,0.006313,40,30,0.013118,31,False,Watch,False,2023-01-01,2029-01-01
30,WS-030,Account 030,Independent,0.005934,40,30,0.011952,31,False,Watch,False,2023-01-01,2029-01-01
31,WS-031,Account 031,Independent,0.005578,40,30,0.010807,31,True,Watch,False,2023-01-01,2029-01-01
32,WS-032,Account 032,Independent,0.005244,40,30,0.010848,31,True,Watch,False,2023-01-01,2029-01-01
33,WS-033,Account 033,Independent,0.004929,40,30,0.011105,31,False,Watch,False,2023-01-01,2029-01-01
34,WS-034,Account 034,Independent,0.004633,40,30,0.011653,31,False,Watch,False,2023-01-01,2029-01-01
35,WS-035,Account 035,Independent,0.004355,40,30,0.012366,31,True,Watch,False,2023-01-01,2029-01-01
36,WS-036,Account 036,Independent,0.004094,40,30,0.012121,31,False,Watch,False,2023-01-01,2029-01-01
37,WS-037,Account 037,Independent,0.003848,40,30,0.010318,31,True,Watch,False,2023-01-01,2029-01-01
38,WS-038,Account 038,Independent,0.003617,40,30,0.012385,31,True,Watch,False,2023-01-01,2029-01-01
