order_id,line_number,order_date,customer_key,product_key,quantity,gross_merchandise_value,promotional_discount,net_merchandise_value,shipping_revenue_allocated,is_promoted,is_first_order,return_rate,fiscal_year
1,1,2023-01-01,35841,5,1,6632,0,6632,0.0,False,False,0.062191,2023
1,2,2023-01-01,35841,27,1,1686,0,1686,0.0,False,False,0.039576,2023
2,1,2023-01-01,1,6,2,8644,0,8644,0.0,False,True,0.084805,2023
3,1,2023-01-01,2,1,1,5753,0,5753,0.0,False,True,0.062191,2023
4,1,2023-01-01,3,30,2,3495,0,3495,3.819222,False,True,0.039576,2023
4,2,2023-01-01,3,30,1,1747,0,1747,1.909611,False,True,0.039576,2023
5,1,2023-01-01,4,2,1,5746,0,5746,0.0,False,True,0.084805,2023
6,1,2023-01-01,28374,8,1,5223,0,5223,0.0,False,False,0.084805,2023
7,1,2023-01-01,5,7,1,5688,0,5688,0.0,False,True,0.062191,2023
8,1,2023-01-01,4175,64,1,5800,0,5800,5.728833,False,False,0.10742,2023
9,1,2023-01-01,12894,20,1,3992,0,3992,2.511556,False,False,0.084805,2023
9,2,2023-01-01,12894,11,1,5114,0,5114,3.217277,False,False,0.062191,2023
10,1,2023-01-01,6,60,1,6625,0,6625,5.728833,False,True,0.062191,2023
11,1,2023-01-01,42211,4,1,4467,0,4467,5.728833,False,False,0.084805,2023
12,1,2023-01-01,7,8,1,5223,0,5223,0.0,False,True,0.084805,2023
12,2,2023-01-01,7,1,1,5753,0,5753,0.0,False,True,0.062191,2023
13,1,2023-01-01,34199,53,2,4211,0,4211,5.728833,False,False,0.039576,2023
14,1,2023-01-01,48708,8,2,10445,0,10445,0.0,False,False,0.084805,2023
14,2,2023-01-01,48708,1,1,5753,0,5753,0.0,False,False,0.062191,2023
15,1,2023-01-01,8,9,1,5975,0,5975,0.0,False,True,0.062191,2023
16,1,2023-01-01,49349,2,1,5746,0,5746,5.728833,False,False,0.084805,2023
17,1,2023-01-01,9,18,1,2582,0,2582,0.0,False,True,0.039576,2023
18,1,2023-01-01,10,41,2,5363,0,5363,0.0,False,True,0.039576,2023
19,1,2023-01-01,11,4,1,4467,0,4467,2.604342,False,True,0.084805,2023
19,2,2023-01-01,11,3,1,5360,0,5360,3.124491,False,True,0.062191,2023
20,1,2023-01-01,12,49,2,3372,0,3372,0.0,False,True,0.039576,2023
21,1,2023-01-01,22536,27,2,3372,0,3372,0.0,False,False,0.039576,2023
21,2,2023-01-01,22536,1,1,5753,0,5753,0.0,False,False,0.062191,2023
22,1,2023-01-01,898,58,1,5692,0,5692,0.0,False,False,0.10742,2023
23,1,2023-01-01,13,30,2,3495,0,3495,0.0,False,True,0.039576,2023
23,2,2023-01-01,13,57,1,1956,0,1956,0.0,False,True,0.039576,2023
23,3,2023-01-01,13,33,1,2230,0,2230,0.0,False,True,0.039576,2023
24,1,2023-01-01,14,2,2,11492,0,11492,0.0,False,True,0.084805,2023
25,1,2023-01-01,18672,5,1,6632,0,6632,5.728833,False,False,0.062191,2023
26,1,2023-01-01,36303,24,1,1773,0,1773,0.0,False,False,0.039576,2023
27,1,2023-01-01,15,12,1,4830,0,4830,5.728833,False,True,0.084805,2023
28,1,2023-01-01,16,30,1,1747,0,1747,5.728833,False,True,0.039576,2023
29,1,2023-01-01,20717,4,1,4467,0,4467,5.728833,False,False,0.084805,2023
30,1,2023-01-01,17,1,1,5753,0,5753,0.0,False,True,0.062191,2023
30,2,2023-01-01,17,5,1,6632,0,6632,0.0,False,True,0.062191,2023
30,3,2023-01-01,17,71,1,3944,0,3944,0.0,False,True,0.084805,2023
31,1,2023-01-01,7626,32,2,7733,0,7733,0.0,False,False,0.084805,2023
32,1,2023-01-01,18,27,1,1686,0,1686,5.728833,False,True,0.039576,2023
33,1,2023-01-01,19,6,1,4322,0,4322,0.0,False,True,0.084805,2023
33,2,2023-01-01,19,2,1,5746,0,5746,0.0,False,True,0.084805,2023
