order_id,line_number,order_date,customer_key,product_key,quantity,gross_merchandise_value,promotional_discount,net_merchandise_value,shipping_revenue_allocated,is_promoted,is_first_order,return_rate,fiscal_year
15628,1,2023-03-25,9629,57,1,1956,231,1725,0.0,True,True,0.039576,2023
14218,1,2023-03-18,8782,74,1,3880,865,3015,0.0,True,True,0.084805,2023
18182,1,2023-04-05,11172,67,1,7535,1123,6412,0.0,True,True,0.10742,2023
8693,1,2023-02-18,5395,3,1,5360,0,5360,0.0,False,True,0.062191,2023
191530,1,2025-04-22,154796,15,1,2804,0,2804,0.0,False,False,0.039576,2025
106335,2,2024-04-17,65157,21,1,1851,0,1851,2.344535,False,True,0.039576,2024
14536,1,2023-03-20,8971,6,1,4322,539,3783,0.0,True,True,0.084805,2023
12348,1,2023-03-09,7616,3,1,5360,0,5360,0.0,False,True,0.062191,2023
6756,1,2023-02-08,4213,33,1,2230,0,2230,0.0,False,True,0.039576,2023
125634,1,2024-07-24,3804,27,1,1729,0,1729,0.0,False,False,0.039576,2024
192910,1,2025-04-28,131291,84,1,7500,0,7500,5.78999,False,False,0.062191,2025
35600,2,2023-06-29,21771,48,2,12746,0,12746,0.0,False,True,0.062191,2023
37711,1,2023-07-09,23064,84,1,7132,0,7132,0.0,False,True,0.062191,2023
7788,1,2023-02-13,4859,27,1,1686,0,1686,0.0,False,True,0.039576,2023
214964,1,2025-08-17,131711,39,2,5528,0,5528,5.78999,False,True,0.039576,2025
14541,1,2023-03-20,8976,2,1,5746,1311,4435,0.0,True,True,0.084805,2023
211197,2,2025-08-01,110521,56,1,6593,0,6593,0.0,False,False,0.062191,2025
223766,1,2025-09-26,137039,47,2,9977,0,9977,0.0,False,True,0.084805,2025
13280,1,2023-03-13,8199,5,1,6632,0,6632,0.0,False,True,0.062191,2023
10647,1,2023-02-28,6597,14,1,5478,0,5478,5.728833,False,True,0.084805,2023
242451,1,2025-11-26,136934,40,1,7090,1493,5596,0.0,True,False,0.062191,2025
30456,3,2023-06-05,18643,41,1,2682,0,2682,0.0,False,True,0.039576,2023
8791,1,2023-02-18,5458,22,1,5736,0,5736,0.0,False,True,0.062191,2023
92326,1,2024-02-06,56579,30,1,1792,0,1792,0.0,False,True,0.039576,2024
203423,2,2025-06-20,124613,36,1,1939,308,1630,0.0,True,True,0.039576,2025
213116,1,2025-08-09,130576,41,1,2820,0,2820,5.78999,False,True,0.039576,2025
12000,1,2023-03-07,25272,27,1,1686,0,1686,0.0,False,False,0.039576,2023
247542,1,2025-12-11,130046,49,1,1773,230,1543,0.0,True,False,0.039576,2025
10526,1,2023-02-28,6530,11,1,5114,0,5114,5.728833,False,True,0.062191,2023
32632,1,2023-06-15,41928,43,1,4834,663,4171,5.728833,True,False,0.084805,2023
216394,1,2025-08-24,132595,47,1,4989,794,4195,5.78999,True,True,0.084805,2025
15888,1,2023-03-26,15078,1,1,5753,861,4892,5.728833,True,False,0.062191,2023
13405,1,2023-03-14,22093,11,1,5114,0,5114,5.728833,False,False,0.062191,2023
118987,2,2024-06-18,72776,39,1,2695,427,2269,2.166242,True,True,0.039576,2024
13196,1,2023-03-13,8146,10,2,8533,0,8533,0.0,False,True,0.084805,2023
223829,1,2025-09-26,137085,27,1,1773,0,1773,0.0,False,True,0.039576,2025
15680,1,2023-03-25,9659,15,2,5334,910,4424,0.0,True,True,0.039576,2023
