month,opening_drawn,interest_expense,unused_line_fee,cash_flow,revolver_drawn,excess_availability,funding_gap,covenant_breached,eligible_ar,dilution_reserve,ar_advance,eligible_inventory,inventory_advance,borrowing_base,facility_commitment,capped_by_facility,version_name,scenario_name
2025-01-01,0,0,83333,-13417742,0,112170414,0,False,746620.890239,1493242,62193520,999537.875222,49976894,112170414,2000000.0,False,Budget,Balanced Base
2025-02-01,0,0,83333,-25167912,0,116322001,0,False,746620.890239,1493242,62193520,1082569.607585,54128480,116322001,2000000.0,False,Budget,Balanced Base
2025-03-01,0,0,83333,-23658933,0,120473587,0,False,746620.890239,1493242,62193520,1165601.339948,58280067,120473587,2000000.0,False,Budget,Balanced Base
2025-04-01,0,0,83333,-18519090,0,122964539,0,False,746620.890239,1493242,62193520,1215420.379366,60771019,122964539,2000000.0,False,Budget,Balanced Base
2025-05-01,0,0,83333,-23334658,0,126285808,0,False,746620.890239,1493242,62193520,1281845.765256,64092288,126285808,2000000.0,False,Budget,Balanced Base
2025-06-01,0,0,83333,-19643163,0,128776760,0,False,746620.890239,1493242,62193520,1331664.804674,66583240,128776760,2000000.0,False,Budget,Balanced Base
2025-07-01,0,0,83333,28360745,0,128776760,0,False,746620.890239,1493242,62193520,1331664.804674,66583240,128776760,2000000.0,False,Budget,Balanced Base
2025-08-01,0,0,83333,-38370824,0,126285808,0,False,746620.890239,1493242,62193520,1281845.765256,64092288,126285808,2000000.0,False,Budget,Balanced Base
2025-09-01,0,0,83333,14579205,0,120473587,0,False,746620.890239,1493242,62193520,1165601.339948,58280067,120473587,2000000.0,False,Budget,Balanced Base
2025-10-01,0,0,83333,13166891,0,114661366,0,False,746620.890239,1493242,62193520,1049356.91464,52467846,114661366,2000000.0,False,Budget,Balanced Base
2025-11-01,0,0,83333,24140708,0,106358193,0,False,746620.890239,1493242,62193520,883293.449914,44164672,106358193,2000000.0,False,Budget,Balanced Base
2025-12-01,0,0,83333,-1485586,0,105527875,0,False,746620.890239,1493242,62193520,866687.103441,43334355,105527875,2000000.0,False,Budget,Balanced Base
2026-01-01,0,0,83333,-31487380,0,113897790,0,False,791800.552014,1583601,65956986,958816.081844,47940804,113897790,2000000.0,False,Budget,Balanced Base
2026-02-01,0,0,83333,-25413765,0,117942214,0,False,791800.552014,1583601,65956986,1039704.561924,51985228,117942214,2000000.0,False,Budget,Balanced Base
2026-03-01,0,0,83333,-23829063,0,121986638,0,False,791800.552014,1583601,65956986,1120593.042004,56029652,121986638,2000000.0,False,Budget,Balanced Base
2026-04-01,0,0,83333,-18914602,0,124413292,0,False,791800.552014,1583601,65956986,1169126.130052,58456307,124413292,2000000.0,False,Budget,Balanced Base
2026-05-01,0,0,83333,-23847438,0,127648832,0,False,791800.552014,1583601,65956986,1233836.914116,61691846,127648832,2000000.0,False,Budget,Balanced Base
2026-06-01,0,0,83333,-20185843,0,130075486,0,False,791800.552014,1583601,65956986,1282370.002164,64118500,130075486,2000000.0,False,Budget,Balanced Base
2026-07-01,0,0,83333,25017960,0,130075486,0,False,791800.552014,1583601,65956986,1282370.002164,64118500,130075486,2000000.0,False,Budget,Balanced Base
2026-08-01,0,0,83333,-36214643,0,127648832,0,False,791800.552014,1583601,65956986,1233836.914116,61691846,127648832,2000000.0,False,Budget,Balanced Base
2026-09-01,0,0,83333,13988665,0,121986638,0,False,791800.552014,1583601,65956986,1120593.042004,56029652,121986638,2000000.0,False,Budget,Balanced Base
2026-10-01,0,0,83333,12420526,0,116324444,0,False,791800.552014,1583601,65956986,1007349.169892,50367458,116324444,2000000.0,False,Budget,Balanced Base
2026-11-01,0,0,83333,22919484,0,108235596,0,False,791800.552014,1583601,65956986,845572.209732,42278610,108235596,2000000.0,False,Budget,Balanced Base
2026-12-01,0,0,83333,-2023584,0,107426712,0,False,791800.552014,1583601,65956986,829394.513716,41469726,107426712,2000000.0,False,Budget,Balanced Base
2027-01-01,0,0,83333,-55414461,0,124428317,0,False,862235.373932,1724471,71824207,1052082.21259,52604111,124428317,2000000.0,False,Budget,Balanced Base
2027-02-01,0,0,83333,-25308135,7676142,121042036,0,False,862235.373932,1724471,71824207,1137879.436393,56893972,128718178,2000000.0,False,Budget,Balanced Base
2027-03-01,7676142,47976,80135,-23545541,31221683,101786356,0,False,862235.373932,1724471,71824207,1223676.660196,61183833,133008040,2000000.0,False,Budget,Balanced Base
2027-04-01,31221683,195136,70324,-18560491,49782174,85799782,0,False,862235.373932,1724471,71824207,1275154.994478,63757750,135581956,2000000.0,False,Budget,Balanced Base
2027-05-01,49782174,311139,62591,-24067181,73849355,65164490,0,False,862235.373932,1724471,71824207,1343792.773521,67189639,139013845,2000000.0,False,Budget,Balanced Base
2027-06-01,73849355,461558,52563,-20242816,94092172,47495590,0,False,862235.373932,1724471,71824207,1395271.107803,69763555,141587762,2000000.0,False,Budget,Balanced Base
2027-07-01,94092172,588076,44128,31520856,62571316,79016446,0,False,862235.373932,1724471,71824207,1395271.107803,69763555,141587762,2000000.0,False,Budget,Balanced Base
2027-08-01,62571316,391071,57262,-40757025,103328341,35685504,0,False,862235.373932,1724471,71824207,1343792.773521,67189639,139013845,2000000.0,False,Budget,Balanced Base
2027-09-01,103328341,645802,40280,16336644,86991697,46016343,0,False,862235.373932,1724471,71824207,1223676.660196,61183833,133008040,2000000.0,False,Budget,Balanced Base
2027-10-01,86991697,543698,47087,14647949,72343749,54658485,0,False,862235.373932,1724471,71824207,1103560.546872,55178027,127002234,2000000.0,False,Budget,Balanced Base
2027-11-01,72343749,452148,53190,26137784,46205964,72216547,0,False,862235.373932,1724471,71824207,931966.099265,46598305,118422512,2000000.0,False,Budget,Balanced Base
2027-12-01,46205964,288787,64081,-477874,46683838,70880701,0,False,862235.373932,1724471,71824207,914806.654504,45740333,117564539,2000000.0,False,Budget,Balanced Base
