month,scenario_name,fiscal_year,dtc_revenue,wholesale_revenue,revenue,gross_profit,gross_margin,payment_processing,marketing,payroll,fixed_costs,bad_debt,ebitda,receivables,processor_receivable,inventory,supplier_advances,accounts_payable,working_capital,capex,version_name
2026-01-01,Balanced Base,2026,44357820,34592040,821078.544,34550746,0.437629,13256.468249,104213.8152,258533.333333,100833.333333,1383.6816,-138021.700112,676947.945205,45110.486329,1746455.819909,471543.071375,366755.722181,257330160,4166.666667,Budget
2026-02-01,Balanced Base,2026,40945680,44475480,888380.064,37405377,0.437894,12236.739922,112755.9312,258533.333333,100833.333333,1779.0192,-116567.968727,676947.945205,41640.448919,1838374.547272,496361.127764,386058.654927,266726541,4166.666667,Budget
2026-03-01,Balanced Base,2026,51182100,44475480,994838.832,41920885,0.438239,15295.924903,126268.0056,258533.333333,100833.333333,1779.0192,-86840.798242,676947.945205,52050.561149,1930293.274636,521179.184152,405361.587674,277510938,4166.666667,Budget
2026-04-01,Balanced Base,2026,51182100,39533760,943444.944,39740985,0.438082,15295.924903,119744.9352,258533.333333,100833.333333,1581.3504,-102522.192349,676947.945205,52050.561149,1985444.511054,536070.017985,416943.347321,283356969,4166.666667,Budget
2026-05-01,Balanced Base,2026,47769960,34592040,856564.8,36055915,0.437774,14276.196576,108717.84,258533.333333,100833.333333,1383.6816,-128112.643284,676947.945205,48580.523739,2058979.492945,555924.463095,432385.693518,290804673,4166.666667,Budget
2026-06-01,Balanced Base,2026,54594240,34592040,927537.312,39066254,0.43803,16315.65323,117725.8896,258533.333333,100833.333333,1383.6816,-108294.529627,676947.945205,55520.598559,2114130.729363,570815.296928,443967.453166,297344712,4166.666667,Budget
2026-07-01,Balanced Base,2026,44357820,39533760,872472.432,36730646,0.437835,13256.468249,110736.8856,258533.333333,100833.333333,1581.3504,-122340.306005,676947.945205,45110.486329,2114130.729363,570815.296928,443967.453166,296303700,4166.666667,Budget
2026-08-01,Balanced Base,2026,54594240,49417200,1081718.976,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-61250.347307,676947.945205,55520.598559,2058979.492945,555924.463095,432385.693518,291498681,4166.666667,Budget
2026-09-01,Balanced Base,2026,54594240,54358920,1133112.864,47785855,0.438591,16315.65323,143818.1712,258533.333333,100833.333333,2174.3568,-45568.9532,676947.945205,55520.598559,1930293.274636,521179.184152,405361.587674,277857941,4166.666667,Budget
2026-10-01,Balanced Base,2026,54594240,49417200,1081718.976,45605954,0.438471,16315.65323,137295.1008,258533.333333,100833.333333,1976.688,-61250.347307,676947.945205,55520.598559,1801607.056327,486433.905208,378337.481829,264217202,4166.666667,Budget
2026-11-01,Balanced Base,2026,102364200,39533760,1475738.784,58912972,0.415178,30591.849806,187305.3072,258533.333333,100833.333333,1581.3504,10695.929259,676947.945205,104101.122297,1617769.6016,436797.792432,339731.616336,249588485,4166.666667,Budget
2026-12-01,Balanced Base,2026,81891360,29650320,1160033.472,47143040,0.42265,24473.479845,147235.0176,258533.333333,100833.333333,1186.0128,-63264.00466,676947.945205,83280.897838,1599385.856127,431834.181154,335871.029787,245557785,4166.666667,Budget
2027-01-01,Balanced Base,2027,48372968,38504235,903522.906,38175663,0.439421,14447.968829,109465.27515,278400.0,105000.0,1540.1694,-132180.650609,753507.534247,49165.048192,1852440.059392,500158.816036,389012.412472,276625905,4166.666667,Budget
2027-02-01,Balanced Base,2027,44651970,49505445,979237.116,41392443,0.439609,13336.586611,118638.3429,278400.0,105000.0,1980.2178,-107567.943155,753507.534247,45383.121408,1949936.904623,526482.964248,409486.749971,286582377,4166.666667,Budget
2027-03-01,Balanced Base,2027,55814963,49505445,1095332.238,46324839,0.439847,16670.733264,132703.71345,278400.0,105000.0,1980.2178,-74366.524571,753507.534247,56728.90176,2047433.749854,552807.112461,429961.087469,298051621,4166.666667,Budget
