date,account_code,department_name,memo,amount,version_name,scenario_name
2023-01-01,1000,Finance,DTC delivery cost,-1785.0,Actual,
2023-01-01,1000,Finance,Fixed operating costs,-49833.333333,Actual,
2023-01-01,1000,Finance,Marketing,-62214.609116,Actual,
2023-01-01,1000,Finance,Payment processing,-12800.201834,Actual,
2023-01-01,1000,Finance,Payroll,-180583.333333,Actual,
2023-01-01,1000,Finance,Supplier deposit,-402329.18016,Actual,
2023-01-01,1150,Marketing / Ecommerce,DTC sale,12990.28527,Actual,
2023-01-01,1180,Finance,Bad debt,-496.804342,Actual,
2023-01-01,1200,Supply Chain / Operations,COGS on shipment,-3607.9267,Actual,
2023-01-01,1200,Supply Chain / Operations,Shrink and damage,-181.757652,Actual,
2023-01-01,1300,Supply Chain / Operations,Supplier deposit,402329.18016,Actual,
2023-01-01,1400,Executive / Corporate,Depreciation,-4166.666667,Actual,
2023-01-01,2200,Finance,Returns reserve,-1142.693713,Actual,
2023-01-01,4000,Marketing / Ecommerce,DTC sale,-12612.182282,Actual,
2023-01-01,4020,Marketing / Ecommerce,DTC sale,-378.102988,Actual,
2023-01-01,4110,Marketing / Ecommerce,Returns reserve,1142.693713,Actual,
2023-01-01,5000,Supply Chain / Operations,COGS on shipment,2814.182826,Actual,
2023-01-01,5010,Supply Chain / Operations,COGS on shipment,432.951204,Actual,
2023-01-01,5020,Supply Chain / Operations,COGS on shipment,360.79267,Actual,
2023-01-01,5100,Supply Chain / Operations,DTC delivery cost,1232.5,Actual,
2023-01-01,5200,Supply Chain / Operations,DTC delivery cost,552.5,Actual,
2023-01-01,5310,Supply Chain / Operations,Shrink and damage,181.757652,Actual,
2023-01-01,6000,Customer Experience,Payroll,19348.214286,Actual,
2023-01-01,6000,Executive / Corporate,Payroll,12898.809524,Actual,
2023-01-01,6000,Finance,Payroll,19348.214286,Actual,
2023-01-01,6000,Marketing / Ecommerce,Payroll,45145.833333,Actual,
2023-01-01,6000,People / Administration,Payroll,6449.404762,Actual,
2023-01-01,6000,Product / Merchandising,Payroll,32247.02381,Actual,
2023-01-01,6000,Supply Chain / Operations,Payroll,25797.619048,Actual,
2023-01-01,6000,Wholesale Sales,Payroll,19348.214286,Actual,
2023-01-01,6100,Marketing / Ecommerce,Marketing,42305.934199,Actual,
2023-01-01,6110,Marketing / Ecommerce,Marketing,19908.674917,Actual,
2023-01-01,6200,Marketing / Ecommerce,Payment processing,12800.201834,Actual,
2023-01-01,6300,Supply Chain / Operations,Fixed operating costs,9769.561479,Actual,
2023-01-01,6310,People / Administration,Fixed operating costs,6427.343078,Actual,
2023-01-01,6320,Technology / Shared Services,Fixed operating costs,11997.707079,Actual,
2023-01-01,6330,Finance,Fixed operating costs,8998.28031,Actual,
2023-01-01,6340,Finance,Fixed operating costs,4070.650616,Actual,
2023-01-01,6350,Executive / Corporate,Fixed operating costs,8569.790771,Actual,
2023-01-01,6400,Finance,Bad debt,496.804342,Actual,
2023-01-01,6500,Executive / Corporate,Depreciation,4166.666667,Actual,
2023-01-02,1000,Finance,DTC delivery cost,-1995.0,Actual,
2023-01-02,1000,Finance,Wholesale delivery cost,-177.80934,Actual,
2023-01-02,1100,Wholesale Sales,Wholesale sale,4553.296661,Actual,
2023-01-02,1150,Marketing / Ecommerce,DTC sale,14852.628342,Actual,
2023-01-02,1200,Supply Chain / Operations,COGS on shipment,-6773.981379,Actual,
2023-01-02,2200,Finance,Returns reserve,-866.960883,Actual,
2023-01-02,4000,Marketing / Ecommerce,DTC sale,-14417.237023,Actual,
2023-01-02,4010,Wholesale Sales,Wholesale sale,-4609.555448,Actual,
2023-01-02,4020,Marketing / Ecommerce,DTC sale,-435.391319,Actual,
2023-01-02,4110,Marketing / Ecommerce,Returns reserve,866.960883,Actual,
2023-01-02,4130,Wholesale Sales,Wholesale sale,25.316454,Actual,
