po_id,line_number,supplier_key,product_key,order_date,quantity,expected_receipt_date,shipment_mode,is_launch_order,deposit_pct,balance_days,term_type,shipment_date,deposit_date,balance_due_date,cancellation_date,actual_receipt_date,actual_shipment_date,outstanding_quantity,commitment_status
1,1,1,1,2023-01-01,9600,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
2,1,3,2,2023-01-01,5000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
3,1,1,3,2023-01-01,6000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
4,1,3,4,2023-01-01,6000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
5,1,1,5,2023-01-01,3600,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
6,1,3,6,2023-01-01,6000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
7,1,1,7,2023-01-01,2400,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
8,1,3,8,2023-01-01,3000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
9,1,1,9,2023-01-01,3600,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
10,1,3,10,2023-01-01,3000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
11,1,1,11,2023-01-01,2400,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
12,1,3,12,2023-01-01,2000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
13,1,1,13,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
14,1,3,14,2023-01-01,1000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
15,1,4,15,2023-01-01,2250,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
16,1,1,16,2023-01-01,2400,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
17,1,3,17,2023-01-01,2000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
18,1,4,18,2023-01-01,1500,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
19,1,1,19,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
20,1,3,20,2023-01-01,1000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
21,1,4,21,2023-01-01,3000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
22,1,1,22,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
23,1,3,23,2023-01-01,1000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
24,1,4,24,2023-01-01,3000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
25,1,1,25,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
26,1,3,26,2023-01-01,2000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
27,1,4,27,2023-01-01,1500,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
28,1,1,28,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
29,1,3,29,2023-01-01,1000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
30,1,4,30,2023-01-01,2250,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
31,1,1,31,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
32,1,3,32,2023-01-01,1000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
33,1,4,33,2023-01-01,1500,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
34,1,1,34,2023-01-01,1200,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
35,1,3,35,2023-01-01,2000,2023-04-01,Ocean,False,0.3,30,core,2023-02-28,2023-01-01,2023-03-30,2023-02-05,2023-04-01,2023-02-28,0,received
36,1,3,2,2023-02-01,3000,2023-05-02,Ocean,False,0.3,30,core,2023-03-31,2023-02-01,2023-04-30,2023-03-08,2023-05-02,2023-03-31,0,received
37,1,1,7,2023-02-01,1200,2023-05-02,Ocean,False,0.3,30,core,2023-03-31,2023-02-01,2023-04-30,2023-03-08,2023-05-02,2023-03-31,0,received
