return_id,source,source_id,source_line,customer_key,account_key,product_key,sale_date,quantity,refund_amount,lag_days,recovery_rate,return_initiation_date,return_receipt_date,refund_date,recoverable_quantity,non_sellable_quantity,return_reason
1,DTC,21,1,22536,0,27,2023-01-01,2,3372,11,0.8,2023-01-08,2023-01-12,2023-01-14,2,0,Not as expected
2,DTC,27,1,15,0,12,2023-01-01,1,4830,15,0.8,2023-01-10,2023-01-16,2023-01-18,1,0,Not as expected
3,DTC,29,1,20717,0,4,2023-01-01,1,4467,22,0.8,2023-01-14,2023-01-23,2023-01-25,1,0,Changed mind
4,DTC,46,1,29,0,4,2023-01-01,1,4467,8,0.8,2023-01-06,2023-01-09,2023-01-11,1,0,Damaged in transit
5,DTC,52,1,8587,0,35,2023-01-01,2,10087,22,0.8,2023-01-14,2023-01-23,2023-01-25,2,0,Defect
6,DTC,54,1,51172,0,36,2023-01-01,1,1844,22,0.8,2023-01-14,2023-01-23,2023-01-25,1,0,Fit / size
7,DTC,80,1,43327,0,5,2023-01-01,1,6632,23,0.8,2023-01-15,2023-01-24,2023-01-26,1,0,Damaged in transit
8,DTC,82,2,14119,0,19,2023-01-01,1,5017,25,0.8,2023-01-16,2023-01-26,2023-01-28,1,0,Changed mind
9,DTC,87,2,47973,0,21,2023-01-01,1,1805,28,0.8,2023-01-18,2023-01-29,2023-01-31,1,0,Damaged in transit
10,DTC,89,1,50,0,4,2023-01-01,1,4467,16,0.8,2023-01-11,2023-01-17,2023-01-19,1,0,Damaged in transit
11,DTC,102,2,21315,0,10,2023-01-01,1,4266,20,0.8,2023-01-13,2023-01-21,2023-01-23,1,0,Fit / size
12,DTC,105,1,10023,0,10,2023-01-01,1,4266,20,0.8,2023-01-13,2023-01-21,2023-01-23,1,0,Fit / size
13,DTC,110,1,14446,0,28,2023-01-01,1,4820,26,0.8,2023-01-17,2023-01-27,2023-01-29,1,0,Defect
14,DTC,111,1,39656,0,35,2023-01-01,1,5044,21,0.8,2023-01-14,2023-01-22,2023-01-24,1,0,Not as expected
15,DTC,125,1,27533,0,4,2023-01-01,1,4467,25,0.8,2023-01-16,2023-01-26,2023-01-28,1,0,Not as expected
16,DTC,128,1,79,0,13,2023-01-01,1,4984,27,0.8,2023-01-17,2023-01-28,2023-01-30,1,0,Fit / size
