date,product_key,suppressed_units,demand_units,lost_units,deferred_units
2023-02-04,11,14.517857,19.0,7.258929,7.258929
2023-02-04,12,59.714286,140.0,29.857143,29.857143
2023-02-04,25,7.857143,18.0,3.928571,3.928571
2023-02-04,34,16.517857,18.0,8.258929,8.258929
2023-02-05,11,14.0,14.0,7.0,7.0
2023-02-05,12,5.0,5.0,2.5,2.5
2023-02-05,25,4.0,4.0,2.0,2.0
2023-02-05,34,1.0,1.0,0.5,0.5
2023-02-06,5,4.196429,7.0,2.098214,2.098214
2023-02-06,9,10.196429,31.0,5.098214,5.098214
2023-02-06,11,8.0,8.0,4.0,4.0
2023-02-06,12,10.0,10.0,5.0,5.0
2023-02-06,16,0.428571,2.0,0.214286,0.214286
2023-02-06,20,5.732143,20.0,2.866071,2.866071
2023-02-06,23,6.053571,21.0,3.026786,3.026786
2023-02-06,25,3.0,3.0,1.5,1.5
2023-02-06,26,3.232143,8.0,1.616071,1.616071
2023-02-06,32,1.839286,3.0,0.919643,0.919643
2023-02-06,34,3.0,3.0,1.5,1.5
2023-02-07,1,48.839286,185.0,24.419643,24.419643
2023-02-07,3,47.714286,175.0,23.857143,23.857143
2023-02-07,4,11.428571,122.0,5.714286,5.714286
2023-02-07,5,33.0,33.0,16.5,16.5
2023-02-07,6,69.017857,153.0,34.508929,34.508929
2023-02-07,9,22.0,22.0,11.0,11.0
2023-02-07,10,41.107143,128.0,20.553571,20.553571
2023-02-07,11,3.0,4.0,1.5,1.5
2023-02-07,12,27.0,28.0,13.5,13.5
2023-02-07,15,79.732143,107.0,39.866071,39.866071
2023-02-07,16,11.0,11.0,5.5,5.5
2023-02-07,17,58.732143,162.0,29.366071,29.366071
2023-02-07,19,54.375,202.0,27.1875,27.1875
2023-02-07,20,4.0,4.0,2.0,2.0
2023-02-07,21,24.928571,102.0,12.464286,12.464286
2023-02-07,23,4.0,4.0,2.0,2.0
2023-02-07,25,56.0,56.0,28.0,28.0
2023-02-07,26,9.0,9.0,4.5,4.5
2023-02-07,27,104.821429,168.0,52.410714,52.410714
2023-02-07,29,81.357143,131.0,40.678571,40.678571
2023-02-07,31,1.321429,19.0,0.660714,0.660714
2023-02-07,33,15.75,43.0,7.875,7.875
2023-02-07,34,1.0,1.0,0.5,0.5
2023-02-08,1,26.0,27.0,13.0,13.0
2023-02-08,2,17.5,21.0,8.75,8.75
2023-02-08,3,4.0,4.0,2.0,2.0
2023-02-08,4,13.0,14.0,6.5,6.5
2023-02-08,5,10.0,10.0,5.0,5.0
2023-02-08,6,15.0,17.0,7.5,7.5
2023-02-08,9,4.0,5.0,2.0,2.0
2023-02-08,10,4.0,6.0,2.0,2.0
2023-02-08,11,2.0,2.0,1.0,1.0
2023-02-08,12,4.0,4.0,2.0,2.0
2023-02-08,15,9.0,9.0,4.5,4.5
2023-02-08,16,4.0,4.0,2.0,2.0
2023-02-08,17,1.0,1.0,0.5,0.5
2023-02-08,19,5.0,7.0,2.5,2.5
2023-02-08,20,5.0,5.0,2.5,2.5
2023-02-08,21,3.0,4.0,1.5,1.5
2023-02-08,25,1.0,1.0,0.5,0.5
2023-02-08,26,8.0,8.0,4.0,4.0
2023-02-08,27,11.0,11.0,5.5,5.5
2023-02-08,28,1.410714,5.0,0.705357,0.705357
2023-02-08,29,5.0,5.0,2.5,2.5
2023-02-08,31,1.0,1.0,0.5,0.5
2023-02-08,32,5.0,6.0,2.5,2.5
2023-02-08,33,2.0,4.0,1.0,1.0
2023-02-08,34,1.0,1.0,0.5,0.5
2023-02-09,1,35.0,37.0,17.5,17.5
2023-02-09,2,30.0,30.0,15.0,15.0
