invoice_id,line_number,account_key,shipment_date,product_key,cartons,units,gross_invoice_amount,deduction_rate,payment_terms_days,realised_dso,fiscal_year,invoice_date,co_op_allowance,markdown_allowance,chargeback,other_deduction,total_deductions,net_revenue,due_date,collection_date
1,1,1,2023-03-04,7,13,283,665358,0.047919,60,65,2023,2023-03-04,14348,9565,54.201729,2551,318.833697,633475,2023-05-03,2023-05-08
1,2,1,2023-03-04,1,13,283,673009,0.047919,60,65,2023,2023-03-04,14513,9675,54.825007,2580,322.500043,640759,2023-05-03,2023-05-08
1,3,1,2023-03-04,22,13,283,670988,0.047919,60,65,2023,2023-03-04,14469,9646,54.660368,2572,321.531574,638835,2023-05-03,2023-05-08
1,4,1,2023-03-04,21,3,65,48738,0.047919,60,65,2023,2023-03-04,1051,701,3.970349,187,23.354993,46403,2023-05-03,2023-05-08
1,5,1,2023-03-04,2,7,152,361923,0.047919,60,65,2023,2023-03-04,7804,5203,29.483164,1387,173.430376,344580,2023-05-03,2023-05-08
1,6,1,2023-03-04,9,6,131,322613,0.047919,60,65,2023,2023-03-04,6957,4638,26.280832,1237,154.59313,307153,2023-05-03,2023-05-08
1,7,1,2023-03-04,5,5,109,298382,0.047919,60,65,2023,2023-03-04,6434,4289,24.306965,1144,142.982149,284084,2023-05-03,2023-05-08
1,8,1,2023-03-04,20,9,196,323312,0.047919,60,65,2023,2023-03-04,6972,4648,26.337823,1239,154.928369,307819,2023-05-03,2023-05-08
1,9,1,2023-03-04,40,13,283,788642,0.047919,60,65,2023,2023-03-04,17006,11337,64.244748,3023,377.910282,750851,2023-05-03,2023-05-08
1,10,1,2023-03-04,12,2,44,86927,0.047919,60,65,2023,2023-03-04,1874,1250,7.081315,333,41.654792,82762,2023-05-03,2023-05-08
1,11,1,2023-03-04,24,8,174,127659,0.047919,60,65,2023,2023-03-04,2753,1835,10.399437,489,61.173159,121542,2023-05-03,2023-05-08
1,12,1,2023-03-04,27,11,240,166859,0.047919,60,65,2023,2023-03-04,3598,2399,13.592723,640,79.957193,158863,2023-05-03,2023-05-08
1,13,1,2023-03-04,28,2,44,86750,0.047919,60,65,2023,2023-03-04,1871,1247,7.066841,333,41.569652,82593,2023-05-03,2023-05-08
1,14,1,2023-03-04,10,5,109,191944,0.047919,60,65,2023,2023-03-04,4139,2759,15.636245,736,91.97791,182746,2023-05-03,2023-05-08
1,15,1,2023-03-04,3,4,87,192910,0.047919,60,65,2023,2023-03-04,4160,2773,15.714946,740,92.44086,183666,2023-05-03,2023-05-08
1,16,1,2023-03-04,14,9,196,443642,0.047919,60,65,2023,2023-03-04,9567,6378,36.140215,1701,212.589499,422383,2023-05-03,2023-05-08
1,17,1,2023-03-04,69,4,87,182872,0.047919,60,65,2023,2023-03-04,3943,2629,14.897176,701,87.630444,174109,2023-05-03,2023-05-08
2,1,1,2023-03-17,27,10,218,151690,0.047919,60,65,2023,2023-03-17,3271,2181,12.357021,582,72.688357,144421,2023-05-16,2023-05-21
2,2,1,2023-03-17,6,4,87,155554,0.047919,60,65,2023,2023-03-17,3354,2236,12.671826,596,74.540154,148100,2023-05-16,2023-05-21
2,3,1,2023-03-17,2,7,152,361923,0.047919,60,65,2023,2023-03-17,7804,5203,29.483164,1387,173.430376,344580,2023-05-16,2023-05-21
2,4,1,2023-03-17,8,10,218,469949,0.047919,60,65,2023,2023-03-17,10134,6756,38.283244,1802,225.195555,447430,2023-05-16,2023-05-21
2,5,1,2023-03-17,53,4,87,75778,0.047919,60,65,2023,2023-03-17,1634,1089,6.173083,290,36.312251,72147,2023-05-16,2023-05-21
